date, name, distance, url, organizer
2013-02-03, Circuito do Sol, 5km 10km, http://www.circuitosol.com.br, o2 por minuto
2013-03-10, Circuito das Estações - Outono, 5km 10km, http://circuitodasestacoes.com.br, o2 por minuto
2013-03-23, Night Run (1 etapa), 5km 10km, http://nightrun.com.br, o2 por minuto
2013-04-21, Série Delta (1 etapa), 5km 10km, http://seriedelta.com.br, o2 por minuto
2013-11-02, Night Run (2 etapa), 5km 10km, http://nightrun.com.br, o2 por minuto
2013-01-27, Corrida Oral-B Prevenção Câncer Bucal, 3km 7km, http://www.corpore.org.br, corpore
2013-03-10, Abertura Circuito Corpore, 5km 11km, http://www.corpore.org.br, corpore
2013-03-17, Disney, 3km 10km, http://www.corpore.org.br, corpore
2013-04-14, Meia Maratona Internacional Corpore da Cidade de São Paulo, 5km 21km, http://www.corpore.org.br, corpore
2013-05-12, GRAACC, 3.1km 10km, http://www.corpore.org.br, corpore
2013-06-02, Ponte Estaiada Marginal do Pinheiros, 4km 10km, http://www.corpore.org.br, corpore 
2013-06-30, Prova dos Bombeiros, 10km, http://www.corpore.org.br, corpore
2013-08-11, Centro Histórico de São Paulo, 9km, http://www.corpore.org.br, corpore
2013-09-01, Duque de Caxias, 3.1km 10km, http://www.corpore.org.br, corpore
2013-09-08, Corpore WTC, 4km 15km, http://www.corpore.org.br, corpore
2013-10-06, Shopping Aricanduva, http://www.corpore.org.br, corpore
2013-10-20, M5K Feminina, 5km, http://www.corpore.org.br, corpore
2013-11-17, Zumbi dos Palmares, 3.1km 10km, http://www.corpore.org.br, corpore
2013-12-07, Natal - Noturna, 6km, http://www.corpore.org.br, corpore
2013-03-03, Corrida W Run (1 etapa), 4km 8km, http://www.corridawrun.com.br, iguana sports
2013-05-19, Circuito Athenas (1 etapa), 5km 10km, http://circuitoathenas.com.br, iguana sports
2013-05-25, Circuito Energizer Night Race, 5km 10km, http://www.energizernightrace.com.br, iguana sports
2013-06-16, Circuito Vênus, 4km 8km, http://www.circuitovenus.com.br, iguana sports
2013-07-21, Circuito Athenas (2 etapa), 5km 8km 16km, http://circuitoathenas.com.br, iguana sports
2013-11-03, Circuito Athenas (3 etapa), 5km 10km 21km, http://circuitoathenas.com.br, iguana sports

